Removed Pin From Net: NetName=GND Pin=D203-1
Removed Pin From Net: NetName=Zener_20V Pin=D203-3
Removed Pin From Net: NetName=TL431ref Pin=D203-4
Change Component Footprint: Designator=D203 Old Footprint=TI-SMD-X2SON-V New Footprint=SOT95P237X112-3N-1
Change Component Comment : Designator=D203 Old Comment=ATL431LIAQDQNR New Comment=ATL431AQDBZR
Change component parameters: Designator = "D203" ("D203"); Footprint = "TI-SMD-X2SON-V"; UniqueID = "\NNQLUVVO\KCLYIBBD" ("\NNQLUVVO\KCLYIBBD")
Change component parameters (AddParameter): Name = "Application"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Article Number"; Value = "644060"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Qualified"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Combined Parameters"; Value = "- -;Vdc min/max:-;Iout:-;Fmax:-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Vendor WebSite"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://webnetprod.muc.infineon.com/PCBPortal_Prod/WorkFlows/AltiumComponent/StandardDocumentation?Versionid=644061"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentStatus"; Value = "Released"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Legacy DeviceID"; Value = "TI_ATL431AQDBZR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Legacy PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Order Number"; Value = "ATL431AQDBZR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "SOT,0.95mm pitch;3 pin,1.30mm W X 2.92mm L X 1.12mm H body"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Imperial"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Metric"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "SOT23-3 (DBZ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Provision"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Type"; Value = "Integrated Circuit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Remarks"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PLMStatus"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "QuickPick"; Value = "SOT23-3 (DBZ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ROHS Compliant"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Schematic Remarks"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Second Source allowed"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Style"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "296-47201-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "595-ATL431AQDBZR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol type"; Value = "TVS Diode Symbol, 1 Cathode, 2 Reference , 3 Anode"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature max"; Value = "125"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature min"; Value = "-40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range"; Value = "Automotive"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance Neg"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance Pos"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "ATL431AQDBZR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Version Number"; Value = "V01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage DC (max)"; Value = "na"; VariantName = "[No Variations]"
Added Component: Designator=TP101(CON-THT-TP-5011)
Add component (AddParameter): Name = "Alternate View"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Application"; Value = "Test"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Article Number"; Value = "382410"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Qualified"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Combined Parameters"; Value = "Board-to-Cable None (onboard);1x1;Mounting:THT;Orient:0° (vertical);Shielded:No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Vendor WebSite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.keyelco.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://webnetprod.muc.infineon.com/PCBPortal_Prod/WorkFlows/AltiumComponent/StandardDocumentation?Versionid=382411"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentStatus"; Value = "Released"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Legacy DeviceID"; Value = "KEY_5011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Legacy PartNumber"; Value = "CON01500530"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Keystone Electronics Corp."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Order Number"; Value = "5011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Multiple Parts"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "Test Point, 1.78 mm Lead Width, Round, 3.17 mm Dia X 8.28 mm H body"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Imperial"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Metric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Provision"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "Connector"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Remarks"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PLMStatus"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "QuickPick"; Value = "0° (vertical) / Board-to-Cable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ROHS Compliant"; Value = "Y"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Schematic Remarks"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Second Source allowed"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Style"; Value = "Not Applicable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2431148"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "36-5011-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "534-5011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol Type"; Value = "Connector, 1 Lead, Female"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature max"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature min"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = "Military"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance Neg"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance Pos"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Board-to-Cable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "5011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Version Number"; Value = "V01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage DC (max)"; Value = "na"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternate View"; Value = "Yes"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Application"; Value = "Test"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Article Number"; Value = "382410"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Automotive Qualified"; Value = "No"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Combined Parameters"; Value = "Board-to-Cable None (onboard);1x1;Mounting:THT;Orient:0° (vertical);Shielded:No"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Vendor WebSite"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.keyelco.com/"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://webnetprod.muc.infineon.com/PCBPortal_Prod/WorkFlows/AltiumComponent/StandardDocumentation?Versionid=382411"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ComponentStatus"; Value = "Released"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Legacy DeviceID"; Value = "KEY_5011"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Legacy PartNumber"; Value = "CON01500530"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Manufacturer"; Value = "Keystone Electronics Corp."; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Manufacturer Order Number"; Value = "5011"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Multiple Parts"; Value = "No"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Package Description"; Value = "Test Point, 1.78 mm Lead Width, Round, 3.17 mm Dia X 8.28 mm H body"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Package Imperial"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Package Metric"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Part Provision"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Part Type"; Value = "Connector"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "PCB Remarks"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "PLMStatus"; Value = "Active"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "QuickPick"; Value = "0° (vertical) / Board-to-Cable"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "ROHS Compliant"; Value = "Y"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Schematic Remarks"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Second Source allowed"; Value = "Yes"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Style"; Value = "Not Applicable"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier 2"; Value = "DigiKey"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier 3"; Value = "Mouser"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2431148"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "36-5011-ND"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "534-5011"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Symbol Type"; Value = "Connector, 1 Lead, Female"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Technology"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Temperature max"; Value = "0"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Temperature min"; Value = "0"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Temperature Range"; Value = "Military"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Tolerance Neg"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Tolerance Pos"; Value = ""; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Type"; Value = "Board-to-Cable"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Value"; Value = "5011"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Version Number"; Value = "V01"; VariantName = "Default_Assembly"
Add component (AddParameter): Name = "Voltage DC (max)"; Value = "na"; VariantName = "Default_Assembly"
Added Pin To Net: NetName=Zener_20V Pin=D203-1
Added Pin To Net: NetName=TL431ref Pin=D203-2
Added Pin To Net: NetName=GND Pin=D203-3
Added Pin To Net: NetName=GND Pin=TP101-1
Added Member To Class: ClassName=02_Top_Level Member=Component TP101 5011
